run_id,plan_version,model,think,track,seed,M1,M2,M3,M5,cost_usd,gen_seconds,exec_seconds
claude-haiku-4-5_track-A_seed-42_71f207,current,claude-haiku-4-5,,A,42,1,1,1.0,1,0.078534,33.4,10.9
claude-haiku-4-5_track-A_seed-43_5f4025,current,claude-haiku-4-5,,A,43,1,1,1.0,1,0.061407100000000006,65.5,10.8
claude-haiku-4-5_track-A_seed-44_4a2244,current,claude-haiku-4-5,,A,44,1,1,1.0,1,0.09159199999999999,109.1,10.8
claude-opus-4-7_track-A_seed-42_215f31,current,claude-opus-4-7,,A,42,1,1,1.0,1,0.14398600000000003,11.1,14.3
claude-opus-4-7_track-A_seed-43_356bf4,current,claude-opus-4-7,,A,43,1,1,1.0,1,0.14398600000000003,10.6,14.2
claude-opus-4-7_track-A_seed-44_e0fb67,current,claude-opus-4-7,,A,44,1,1,1.0,1,0.14398600000000003,10.6,14.4
claude-sonnet-4-6_track-A_seed-42_74bfcd,current,claude-sonnet-4-6,,A,42,1,1,1.0,1,0.06405325,9.7,13.1
claude-sonnet-4-6_track-A_seed-43_5a1b5a,current,claude-sonnet-4-6,,A,43,1,1,1.0,1,0.06405325,11.0,12.8
claude-sonnet-4-6_track-A_seed-44_ce733f,current,claude-sonnet-4-6,,A,44,1,1,1.0,1,0.06404325000000001,11.3,12.8
qwen3.6_35b_think-off_track-A_seed-42_6e1b92,current,qwen3.6_35b,off,A,42,1,1,1.0,1,0.0,115.6,10.4
qwen3.6_35b_think-off_track-A_seed-43_5d11c1,current,qwen3.6_35b,off,A,43,1,1,1.0,1,0.0,94.8,10.6
qwen3.6_35b_think-off_track-A_seed-44_b063fa,current,qwen3.6_35b,off,A,44,1,1,1.0,1,0.0,89.9,10.7
claude-haiku-4-5_track-A_seed-42_69e1ba,v1,claude-haiku-4-5,,A,42,1,1,1.0,1,0.06521655,69.0,11.3
claude-haiku-4-5_track-A_seed-43_ed2943,v1,claude-haiku-4-5,,A,43,1,1,1.0,1,0.07365409999999999,83.8,11.0
claude-haiku-4-5_track-A_seed-44_9c90dc,v1,claude-haiku-4-5,,A,44,1,1,1.0,1,0.0504941,51.9,10.9
claude-haiku-4-5_track-B_seed-42_293bed,v1,claude-haiku-4-5,,B,42,1,1,0.0,1,0.06643405,68.0,2.8
claude-haiku-4-5_track-B_seed-43_6aee05,v1,claude-haiku-4-5,,B,43,1,1,1.0,1,0.07965109999999999,79.4,10.2
claude-haiku-4-5_track-B_seed-44_a33bed,v1,claude-haiku-4-5,,B,44,1,1,1.0,0,0.047931100000000004,44.9,10.5
claude-opus-4-7_track-A_seed-42_2d52d3,v1,claude-opus-4-7,,A,42,1,1,1.0,1,0.14935700000000002,18.1,12.9
claude-opus-4-7_track-A_seed-43_d7c163,v1,claude-opus-4-7,,A,43,1,1,1.0,1,0.149792,15.2,13.3
claude-opus-4-7_track-A_seed-44_87e547,v1,claude-opus-4-7,,A,44,1,1,1.0,1,0.148542,15.2,13.5
claude-opus-4-7_track-B_seed-42_42b780,v1,claude-opus-4-7,,B,42,1,1,0.9375,1,0.059130999999999996,14.8,16.7
claude-opus-4-7_track-B_seed-43_992013,v1,claude-opus-4-7,,B,43,1,1,0.9375,1,0.060025999999999996,15.3,17.0
claude-opus-4-7_track-B_seed-44_2e1765,v1,claude-opus-4-7,,B,44,1,1,0.9375,1,0.040587,16.2,16.5
claude-sonnet-4-6_track-A_seed-42_89c058,v1,claude-sonnet-4-6,,A,42,1,1,1.0,1,0.067063,14.5,11.7
claude-sonnet-4-6_track-A_seed-43_55364c,v1,claude-sonnet-4-6,,A,43,1,1,1.0,1,0.0211654,16.7,11.6
claude-sonnet-4-6_track-A_seed-44_358011,v1,claude-sonnet-4-6,,A,44,1,1,1.0,1,0.0579854,39.6,11.4
claude-sonnet-4-6_track-B_seed-42_8a87e2,v1,claude-sonnet-4-6,,B,42,1,1,0.9375,1,0.13532980000000003,84.5,13.7
claude-sonnet-4-6_track-B_seed-43_90d3bb,v1,claude-sonnet-4-6,,B,43,1,1,0.9375,1,0.0804214,58.5,13.2
claude-sonnet-4-6_track-B_seed-44_74cd1c,v1,claude-sonnet-4-6,,B,44,1,1,0.9375,1,0.09774139999999999,76.9,13.6
qwen3.6_35b_think-off_track-A_seed-42_fc7a82,v1,qwen3.6_35b,off,A,42,0,0,0.0,0,0.0,118.1,1.0
qwen3.6_35b_think-off_track-A_seed-43_73e074,v1,qwen3.6_35b,off,A,43,0,0,0.0,0,0.0,121.7,1.1
qwen3.6_35b_think-off_track-A_seed-44_55ba36,v1,qwen3.6_35b,off,A,44,0,0,0.0,0,0.0,122.2,1.0
